Datetime,Location Name,Tsu,Vol,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
1979-03-14 11:07:00,MEXICO:  GUERRERO,True,False,17.813,-101.276,49.0,7.6,,5.0,1.0,,,35.0,1.0,30.0,4.0,200.0,3.0,,,5.0,1.0,,,35.0,1.0,30.0,4.0,200.0,3.0,,
1980-06-09 03:28:00,MEXICO:  NW,False,False,32.22,-114.985,5.0,6.4,5.0,1.0,1.0,,,100.0,2.0,,2.0,,,,,1.0,1.0,,,100.0,2.0,,2.0,,,,
1980-10-24 14:53:00,"MEXICO:  S, HUAJAPAN DE LEON, OAXACA",False,False,18.211,-98.24,72.0,6.4,9.0,300.0,3.0,,,,3.0,5.0,2.0,,3.0,,,300.0,3.0,,,,3.0,5.0,2.0,,3.0,,
1981-10-25 03:22:00,MEXICO:  MICHOACAN: LAZARO CARDENAS,True,False,18.048,-102.084,33.0,7.3,,3.0,1.0,,,28.0,,,2.0,,,,2.0,3.0,1.0,,,28.0,1.0,,2.0,,,,2.0
1982-03-28 04:16:00,MEXICO:  CHIAPAS,False,True,17.25,-93.21,9.0,3.5,,10.0,1.0,,,200.0,3.0,,1.0,,,,,1879.0,4.0,1755.0,4.0,,,3.3,2.0,,,,
1982-06-07 10:59:00,"MEXICO:  GUERERRO, ORZIBA, OAXACA, GUADALUPE",False,False,16.558,-98.358,34.0,7.0,6.0,9.0,1.0,,,,3.0,,2.0,,,,,9.0,1.0,,,,3.0,,2.0,,,,
1983-01-24 08:17:00,MEXICO:  OAXACA:   SALINA CRUZ,False,False,16.147,-95.232,57.0,6.7,7.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
1985-09-19 13:17:00,MEXICO:  MICHOACAN:  MEXICO CITY,True,False,18.19,-102.533,28.0,8.1,9.0,9500.0,4.0,,,30000.0,4.0,4000.0,4.0,,4.0,,,9500.0,4.0,,,30000.0,4.0,4000.0,4.0,,4.0,,
1985-09-21 01:37:00,MEXICO:  SW COAST:  MEXICO CITY,True,False,17.802,-101.647,31.0,7.6,6.0,,2.0,,,,,,2.0,,,,,,2.0,,,,,,2.0,,,,
1989-04-25 14:29:00,"MEXICO:  MEXICO CITY, ACAPULCO",False,False,16.773,-99.328,19.0,6.8,6.0,3.0,1.0,,,,1.0,,2.0,,,,,3.0,1.0,,,,1.0,,2.0,,,,
1995-09-14 14:04:00,"MEXICO:  GUERRERO, OAXACA, PUEBLA, MEXICO CITY",True,False,16.779,-98.597,23.0,7.4,,3.0,1.0,,,100.0,2.0,,2.0,,,,,3.0,1.0,,,100.0,2.0,,2.0,,,,
1995-10-09 15:35:00,"MEXICO:  JALISCO, MANZANILLO, SAN PATRICIO MELAQUE",True,False,19.055,-104.205,33.0,8.0,,49.0,2.0,,,200.0,3.0,,2.0,,2.0,,,50.0,1.0,,,200.0,3.0,,2.0,,2.0,,
1996-02-25 03:08:00,MEXICO:  OFF COAST OF GUERRERO,True,False,15.978,-98.07,21.0,7.1,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-11 20:28:00,"MEXICO:  MICHOACAN, ARTEAGA",False,False,18.219,-102.756,33.0,7.2,,1.0,1.0,,,,,,2.0,,,,,1.0,1.0,,,,,,2.0,,,,
1998-02-03 03:02:00,"MEXICO:  OAXACA, SAN AGUSTIN, SAN FRANCISCO",False,False,15.883,-96.298,33.0,6.3,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
1999-06-15 20:42:00,"MEXICO:  PUEBLA, VERACRUZ, OAXACA, MORELOS, GUERRERO",False,False,18.386,-97.436,70.0,7.0,,20.0,1.0,,,200.0,3.0,226.8,4.0,,,2000.0,4.0,20.0,1.0,,,200.0,3.0,226.8,4.0,,,2000.0,4.0
1999-06-21 17:43:00,MEXICO:  GUERRERO:  COAHUAYUTLA; MICHOACAN: CUITZEO,False,False,18.324,-101.539,69.0,6.3,,,,,,,,,3.0,,,1300.0,4.0,,,,,,,,3.0,,,1300.0,4.0
1999-09-30 16:31:00,MEXICO:  OAXACA,False,False,16.059,-96.931,61.0,7.5,8.0,35.0,1.0,,,215.0,3.0,164.8,4.0,,,2000.0,4.0,35.0,1.0,,,215.0,3.0,164.8,4.0,,,2000.0,4.0
2002-01-30 08:42:00,"MEXICO:  VERACRUZ:  SAN ANDRES TUXTLA, TUXTEPEC",False,False,18.194,-95.908,109.0,5.9,,,,,,,,,1.0,,,,2.0,,,,,,,,1.0,,,,2.0
2002-02-22 19:32:00,"MEXICO:  MEXICALI, BAJA CALIFORNIA",False,False,32.319,-115.322,7.0,5.5,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
2002-09-25 18:14:00,MEXICO:  ACAPULCO,False,False,16.87,-100.113,6.0,5.3,,,,,,2.0,1.0,,1.0,,,,2.0,,,,,2.0,1.0,,1.0,,,,2.0
2003-01-22 02:06:00,"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",True,False,18.77,-104.104,24.0,7.5,8.0,29.0,1.0,,,300.0,3.0,,3.0,2005.0,4.0,6615.0,4.0,29.0,1.0,,,300.0,3.0,,3.0,2005.0,4.0,6615.0,4.0
2004-01-01 23:31:00,"MEXICO:  GUERRERO, MEXICO CITY",False,False,17.488,-101.303,29.0,6.1,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
2006-09-10 14:56:00,GULF OF MEXICO,False,False,26.319,-86.606,14.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,
2007-04-13 05:42:00,"MEXICO:  GUERRERO, ATOYAC",False,False,17.302,-100.198,34.0,6.0,5.0,,,,,,,,1.0,2.0,1.0,,,,,,,,,,1.0,2.0,1.0,,
2008-02-09 07:12:00,MEXICO:  BAJA CALIFORNIA,False,False,32.456,-115.315,3.0,5.1,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
2009-12-30 18:48:00,MEXICO:  MEXICALI,False,False,32.437,-115.165,9.0,5.9,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,2.0
2010-04-04 22:40:00,MEXICO:  BAJA CALIFORNIA,False,False,32.297,-115.278,4.0,7.2,,2.0,1.0,,,233.0,3.0,1150.0,4.0,,,,3.0,2.0,1.0,,,233.0,3.0,1150.0,4.0,,,,3.0
2010-06-30 07:22:00,MEXICO:  SAN ANDRES HUAXPALTEPEC,False,False,16.396,-97.782,20.0,6.2,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,
2011-12-11 01:47:00,MEXICO:  GUERRERO,False,False,17.844,-99.963,54.0,6.4,,2.0,1.0,,,5.0,1.0,,2.0,,,70.0,2.0,2.0,1.0,,,5.0,1.0,,2.0,,,70.0,2.0
2012-03-20 18:02:00,"MEXICO:  GUERRERO, OAXACA",True,False,16.493,-98.231,20.0,7.4,8.0,2.0,1.0,,,13.0,1.0,600.0,4.0,800.0,3.0,,,2.0,1.0,,,13.0,1.0,600.0,4.0,800.0,3.0,,
2013-04-22 01:16:00,MEXICO:  MICHOACAN: LAZARO CARDENAS,True,False,18.081,-102.182,30.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-21 12:38:00,"MEXICO:  SAN MARCOS, ACAPULCO",False,False,16.878,-99.498,21.0,6.2,8.0,,,,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,1.0
2014-04-18 14:27:00,MEXICO:  GUERRERO; MEXICO CITY,True,False,17.397,-100.972,24.0,7.2,8.0,,,,,,,,1.0,,,127.0,2.0,,,,,,,,1.0,,,127.0,2.0
2014-05-08 17:00:00,MEXICO:  TECPAN,False,False,17.235,-100.746,17.0,6.4,9.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0
2014-07-07 11:23:00,MEXICO; GUATEMALA:  SAN MARCOS,False,False,14.724,-92.461,53.0,6.9,8.0,3.0,1.0,,,33.0,1.0,,1.0,,1.0,50.0,1.0,3.0,1.0,,,33.0,1.0,,1.0,,1.0,50.0,1.0
2014-07-29 10:46:00,MEXICO:  OAXACA,False,False,17.682,-95.653,107.0,6.3,7.0,1.0,1.0,,,1.0,1.0,,2.0,,,,2.0,1.0,1.0,,,1.0,1.0,,2.0,,,,2.0
2015-12-17 19:49:00,MEXICO:  COCOTITLAN,False,False,15.802,-93.633,85.0,6.6,5.0,2.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,
2017-09-08 04:49:00,"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA",True,False,14.761,-94.103,46.0,8.2,9.0,98.0,2.0,,,251.0,3.0,4000.0,4.0,47468.0,4.0,94027.0,4.0,98.0,2.0,,,251.0,3.0,4000.0,4.0,47468.0,4.0,94027.0,4.0
2017-09-19 18:14:00,"MEXICO: MEXICO CITY, MORELOS, PUEBLA",False,False,18.339,-98.68,39.0,7.1,9.0,369.0,3.0,,,6000.0,4.0,8000.0,4.0,226.0,3.0,184000.0,4.0,369.0,3.0,,,6000.0,4.0,8000.0,4.0,226.0,3.0,184000.0,4.0
2017-09-23 12:53:00,MEXICO:  OAXACA,False,False,16.626,-95.078,10.0,6.1,,5.0,1.0,,,7.0,1.0,,1.0,11.0,1.0,,,5.0,1.0,,,7.0,1.0,,1.0,11.0,1.0,,
2018-02-16 23:39:00,MEXICO:  OAXACA,False,False,16.386,-97.979,22.0,7.2,,14.0,1.0,,,19.0,1.0,,2.0,,,1000.0,3.0,14.0,1.0,,,19.0,1.0,,2.0,,,1000.0,3.0
2019-02-01 16:19:00,MEXICO:  CHIAPAS; GUATEMALA:  SAN MARCOS,False,False,14.68,-92.453,66.0,6.7,,,,,,4.0,1.0,,2.0,,,,3.0,,,,,4.0,1.0,,2.0,,,,3.0
2020-06-23 15:29:00,MEXICO: OAXACA,True,False,16.029,-95.901,26.0,7.4,,10.0,1.0,,,24.0,1.0,,4.0,,,8123.0,4.0,10.0,1.0,,,24.0,1.0,,4.0,,,8123.0,4.0
2021-09-08 01:47:00,MEXICO:  GUERRERO,True,False,16.982,-99.773,20.0,7.0,7.0,3.0,1.0,,,,1.0,200.0,4.0,,,7317.0,4.0,3.0,1.0,,,,1.0,200.0,4.0,,,7317.0,4.0
2022-05-25 21:43:00,MEXICO:  OAXACA,True,False,16.325,-95.856,34.0,5.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-19 18:05:00,"MEXICO:  MICHOACAN, COLIMA, JALISCO",True,False,18.367,-103.252,15.0,7.6,9.0,2.0,1.0,,,10.0,1.0,25.0,4.0,800.0,,6084.0,,2.0,1.0,,,10.0,1.0,25.0,4.0,800.0,,6084.0,4.0
2022-09-22 06:16:00,"MEXICO: MEXICO CITY, MICHOACAN",True,False,18.308,-102.923,24.0,6.8,8.0,3.0,1.0,,,5.0,1.0,,2.0,,,,,3.0,2.0,,,5.0,1.0,,2.0,,,,
