"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Year >= 1900"",""Country = MEXICO""]"																																						
	1996	2	25	3	8	15.8	2262		"MEXICO:  OFF COAST OF GUERRERO"	15.978	-98.07	21	7.1																									
	1997	1	11	20	28	26			"MEXICO:  MICHOACAN, ARTEAGA"	18.219	-102.756	33	7.2		1	1						2					1	1						2				
	1998	2	3	3	2	0.2			"MEXICO:  OAXACA, SAN AGUSTIN, SAN FRANCISCO"	15.883	-96.298	33	6.3									2												2				
	1999	6	15	20	42	5.9			"MEXICO:  PUEBLA, VERACRUZ, OAXACA, MORELOS, GUERRERO"	18.386	-97.436	70	7		20	1			200	3	226.8	4			2000	4	20	1			200	3	226.8	4			2000	4
	1999	6	21	17	43	4.5			"MEXICO:  GUERRERO:  COAHUAYUTLA; MICHOACAN: CUITZEO"	18.324	-101.539	69	6.3									3			1300	4								3			1300	4
	1999	9	30	16	31	15.6			"MEXICO:  OAXACA"	16.059	-96.931	61	7.5	8	35	1			215	3	164.8	4			2000	4	35	1			215	3	164.8	4			2000	4
	2002	1	30	8	42	3.4			"MEXICO:  VERACRUZ:  SAN ANDRES TUXTLA, TUXTEPEC"	18.194	-95.908	109	5.9									1				2								1				2
	2002	2	22	19	32	41.7			"MEXICO:  MEXICALI, BAJA CALIFORNIA"	32.319	-115.322	7	5.5									1												1				
	2002	9	25	18	14	48.5			"MEXICO:  ACAPULCO"	16.87	-100.113	6	5.3						2	1		1				2					2	1		1				2
	2003	1	22	2	6	34.6	2402		"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO"	18.77	-104.104	24	7.5	8	29	1			300	3		3	2005	4	6615	4	29	1			300	3		3	2005	4	6615	4
	2004	1	1	23	31	50			"MEXICO:  GUERRERO, MEXICO CITY"	17.488	-101.303	29	6.1									1												1				
	2006	9	10	14	56	8.1			"GULF OF MEXICO"	26.319	-86.606	14	5.8																									
	2007	4	13	5	42	23			"MEXICO:  GUERRERO, ATOYAC"	17.302	-100.198	34	6	5								1	2	1										1	2	1		
	2008	2	9	7	12	5.8			"MEXICO:  BAJA CALIFORNIA"	32.456	-115.315	3	5.1									1												1				
	2009	12	30	18	48	57.7			"MEXICO:  MEXICALI"	32.437	-115.165	9	5.9									1												1				2
	2010	4	4	22	40	43.1			"MEXICO:  BAJA CALIFORNIA"	32.297	-115.278	4	7.2		2	1			233	3	1150	4				3	2	1			233	3	1150	4				3
	2010	6	30	7	22	27.6			"MEXICO:  SAN ANDRES HUAXPALTEPEC"	16.396	-97.782	20	6.2		1	1											1	1										
	2011	12	11	1	47	25.9			"MEXICO:  GUERRERO"	17.844	-99.963	54	6.4		2	1			5	1		2			70	2	2	1			5	1		2			70	2
	2012	3	20	18	2	47.4	5447		"MEXICO:  GUERRERO, OAXACA"	16.493	-98.231	20	7.4	8	2	1			13	1	600	4	800	3			2	1			13	1	600	4	800	3		
	2013	4	22	1	16	32	5752		"MEXICO:  MICHOACAN: LAZARO CARDENAS"	18.081	-102.182	30	6	6																								
	2013	8	21	12	38	29.7			"MEXICO:  SAN MARCOS, ACAPULCO"	16.878	-99.498	21	6.2	8					1	1		1				1					1	1		1				1
	2014	4	18	14	27	24.9	5563		"MEXICO:  GUERRERO; MEXICO CITY"	17.397	-100.972	24	7.2	8								1			127	2								1			127	2
	2014	5	8	17	0	14.8			"MEXICO:  TECPAN"	17.235	-100.746	17	6.4	9								1				1								1				1
	2014	7	7	11	23	54.8			"MEXICO; GUATEMALA:  SAN MARCOS"	14.724	-92.461	53	6.9	8	3	1			33	1		1		1	50	1	3	1			33	1		1		1	50	1
	2014	7	29	10	46	14.7			"MEXICO:  OAXACA"	17.682	-95.653	107	6.3	7	1	1			1	1		2				2	1	1			1	1		2				2
	2015	12	17	19	49	5			"MEXICO:  COCOTITLAN"	15.802	-93.633	85	6.6	5	2	1											2	1										
	2017	9	8	4	49	2	5658		"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA"	14.761	-94.103	46	8.2	9	98	2			251	3	4000	4	47468	4	94027	4	98	2			251	3	4000	4	47468	4	94027	4
	2017	9	19	18	14	7			"MEXICO: MEXICO CITY, MORELOS, PUEBLA"	18.339	-98.68	39	7.1	9	369	3			6000	4	8000	4	226	3	184000	4	369	3			6000	4	8000	4	226	3	184000	4
	2017	9	23	12	53	48			"MEXICO:  OAXACA"	16.626	-95.078	10	6.1		5	1			7	1		1	11	1			5	1			7	1		1	11	1		
	2018	2	16	23	39	28			"MEXICO:  OAXACA"	16.386	-97.979	22	7.2		14	1			19	1		2			1000	3	14	1			19	1		2			1000	3
	2019	2	1	16	19	29			"MEXICO:  CHIAPAS; GUATEMALA:  SAN MARCOS"	14.68	-92.453	66	6.7						4	1		2				3					4	1		2				3
	2020	6	23	15	29	5	5751		"MEXICO: OAXACA"	16.029	-95.901	26	7.4		10	1			24	1		4			8123	4	10	1			24	1		4			8123	4
	2021	9	8	1	47	47	5806		"MEXICO:  GUERRERO"	16.982	-99.773	20	7	7	3	1				1	200	4			7317	4	3	1				1	200	4			7317	4
	2022	5	25	21	43	2	5850		"MEXICO:  OAXACA"	16.325	-95.856	34	5.5	5																								
	2022	9	19	18	5	6	5859		"MEXICO:  MICHOACAN, COLIMA, JALISCO"	18.367	-103.252	15	7.6	9	2	1			10	1	25	4	800		6084		2	1			10	1	25	4	800		6084	4
	2022	9	22	6	16	9	5861		"MEXICO: MEXICO CITY, MICHOACAN"	18.308	-102.923	24	6.8	8	3	1			5	1		2					3	2			5	1		2				
